fold,seed,model,Acc,DI,EOD,AOD
0,83,Debiased-HITL,0.74,1.7487684729064041,0.12499999999999997,0.07746388028895768
0,83,FE-HITL,0.735,1.2241379310344829,0.024999999999999994,0.01430598555211558
0,84,DL,0.725,1.3261494252873565,0.22499999999999998,0.08824819401444788
0,84,Debiased-HITL,0.725,1.3261494252873565,0.22499999999999998,0.08824819401444788
0,84,FE-HITL,0.735,1.122126436781609,0.22499999999999998,0.061932404540763666
0,85,DL,0.775,1.8918495297805642,0.22499999999999998,0.14397574819401443
0,85,Debiased-HITL,0.765,1.669278996865204,0.125,0.09397574819401444
0,85,FE-HITL,0.755,0.7789968652037619,0.125,0.07049793601651187
0,86,DL,0.715,1.8362068965517242,0.15,0.08506191950464395
0,86,Debiased-HITL,0.705,1.0201149425287357,0.0,0.0030959752321981435
0,86,FE-HITL,0.705,1.0201149425287357,0.0,0.0030959752321981435
